Date,250092006_1,250092006_3,250095005_1,250095005_3,250096001_1,250213003_3,250230005_1,250230005_2,250230005_3,250250002_1,250250042_1,250250042_3,250250043_1,250250043_2,250250043_3,250250044_1,250250044_3,250250044_4,330150014_1,330150014_6,330150018_1,330150018_2,330150018_3,330150018_4
1/1/2016,1.7,3.6,1.7,4.7,3.1,8.1,7.2,4,3.7,3,3.8,6,3,5.2,4.5,3.7,5.2,,4.7,4.1,3.6,7.3,4.8,
1/4/2016,3.7,3.8,3.6,,5,10.4,6.2,4.8,3.9,3.7,4.1,6.6,5.5,4.9,7,6.8,9.9,,,5.3,3.3,,5,3.3
1/7/2016,7.2,10,7.4,,11.7,15.2,9.2,8.2,11.7,11.5,10,16.2,8.9,10.3,15,11.9,15.3,16.7,8.1,9.3,6.8,7.1,8.7,
1/10/2016,2.5,2.6,3.8,3.5,3.4,3.1,3.4,3.2,4.2,5.2,5.8,4,4.2,4.5,2.5,4.1,4.5,1.9,,2,1.5,,2.5,2.3
1/13/2016,2.1,5.2,2.9,4.7,3,,3.2,2.5,1.6,3.6,3.7,5.5,4.8,6,7.3,5.1,8,10.2,4.4,4.9,2.3,2.9,5.9,
1/16/2016,4.5,6,4.9,6.7,4.7,,4.6,4.5,4.3,5.7,5.8,7.7,7.4,5.8,8.5,12.5,9.4,8.6,,10.2,5,,5.5,4.6
1/19/2016,1,1.6,1.2,2.1,1.7,,2.2,1.7,-2,2.6,2.7,6.1,5.1,5.7,7.6,3,5.3,8,1.6,4.9,1.3,1.2,2.6,
1/22/2016,2.3,2.4,2.9,3,2.3,,1.9,2.1,0.2,3.3,2.4,3.7,5.3,5.8,9.1,3.9,7.6,8.1,,4.1,1.7,,1.3,2.1
1/25/2016,3.6,4.9,4.2,5.5,5.1,,6.8,4.5,6.8,6.4,6.2,9.7,5.8,4.8,8.2,6.8,11,11.1,4.7,4.6,4.7,3.8,6.2,
1/28/2016,4,4.3,4.4,4.4,5.7,,5.1,3.5,4.8,5.3,4.5,9,4.2,3.3,7,7.1,7.9,8.3,,6.8,2.9,,4,2.5
1/31/2016,6.8,8.2,6.5,8.1,7.2,,6.4,6.2,6,6.5,8.9,11,7.3,6.2,8.6,7.5,8,8.2,7.3,6.6,6,1.2,8.2,
2/3/2016,1.4,2.9,0.7,,4,,3.9,3.1,5.1,4.9,4.8,6.6,5.4,5.1,5.1,4.2,6.5,4.7,,5.5,2.5,,3.7,3.2
2/6/2016,5,6.5,4.8,7.2,4.5,,4.8,3.5,7,4.7,7.4,10,7,6.2,9.2,4.8,10.4,10.6,5.6,7.7,4.4,4.6,6,
2/9/2016,2.4,2.3,3.1,4.9,5.3,,3.9,4.2,4.9,3.6,5.8,9.9,5.6,5.2,7.6,6.3,9.5,11.8,,2.3,3.3,,3.7,4.3
2/12/2016,3.6,1.4,4,,3.1,,2.8,2.6,3,4.3,,7.9,5.3,5.7,7.7,5.7,,9.4,3.6,4.2,3.4,3.7,4.5,
2/15/2016,4.9,6.7,10,,7.5,,8,7.7,9,8,9.5,13.4,7.5,8.1,12,4,11.7,12.8,,7.4,8.3,,9,8
2/18/2016,4.9,3,4.8,4.8,4.9,,4,3.7,2.6,4.5,7,7.9,7.3,8.8,6.7,5.6,6.9,9.4,5.2,5.9,3.1,3.1,4.7,
2/21/2016,3.3,4,3.5,3.6,3.8,,6.1,5.1,3.5,4.5,4.6,5.7,,,4.7,4.9,6.5,6.4,,4.2,2.4,,3.1,2.7
2/24/2016,2.8,1.9,2.3,3.9,3.7,,3,3,2.3,5,3.7,4.2,4.5,4.5,3.3,3.4,3.4,3.9,2.6,1.6,2.3,2.1,1.8,
2/27/2016,5.9,3.8,3.5,4,4.3,,3.4,3.5,1.9,,4.6,8.5,5.6,5.3,7.4,4,5.4,7.4,,2.3,2.9,,3.7,3.5
3/1/2016,2.9,3.8,2.9,2.2,3.3,,3.1,3.2,2.6,,3.6,5.3,2.4,3.2,1.7,4.1,4.4,5.7,4.1,4.6,2.2,2.2,1.7,
3/4/2016,3.9,4,2.4,3.9,3.7,,7.9,7,7.6,5.4,4.7,8.7,4.6,5.2,8.7,5.7,6.6,7.7,,3.4,2.7,,3.3,
3/7/2016,11.6,13.5,11.1,13.7,12.8,,13.2,11.7,14,13,13.3,18.6,14,14.4,18.5,14.5,14,17,11.1,12.3,10.8,9.7,12.2,
3/10/2016,11.6,16.1,11.2,13.3,11.4,,16.1,15.7,17.2,14.8,14,15.3,13.7,13.6,11.8,16.6,18.1,15.2,,10.4,9.1,,10,9.9
